"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the best buy categories application","verify the user can access in best buy application","SUCCESS","2021-08-02T22:17:01.829+01:00[Europe/London]","0.0","10.4"
"Testing different request on the best buy categories application","create a new categories and verify if categories is added","SUCCESS","2021-08-02T22:17:19.645+01:00[Europe/London]","0.0","3.08"
"Testing different request on the best buy categories application","Getting the categories request by id","SUCCESS","2021-08-02T22:17:22.932+01:00[Europe/London]","0.0","0.14"
"Testing different request on the best buy categories application","update a created categories and verify if the categories record is updated","SUCCESS","2021-08-02T22:17:23.196+01:00[Europe/London]","0.0","0.52"
"Testing different request on the best buy categories application","Delete a created categories & verify the categories is deleted","SUCCESS","2021-08-02T22:17:24.646+01:00[Europe/London]","0.0","0.45"
"Testing different request on the best buy product application","check if the best buy product application can be accessed by user","SUCCESS","2021-08-02T22:17:25.404+01:00[Europe/London]","0.0","29.74"
"Testing different request on the best buy product application","Create a new product and verify if the product is added","SUCCESS","2021-08-02T22:17:55.642+01:00[Europe/London]","0.0","0.56"
"Testing different request on the best buy product application","Getting the product information by Id","SUCCESS","2021-08-02T22:17:56.428+01:00[Europe/London]","0.0","0.07"
"Testing different request on the best buy product application","update a created product and verify if the product is updated","SUCCESS","2021-08-02T22:17:56.854+01:00[Europe/London]","0.0","0.46"
"Testing different request on the best buy product application","Delete a created product & verify the product is deleted","SUCCESS","2021-08-02T22:17:58.083+01:00[Europe/London]","0.0","0.65"
"Testing different requests on the best buy services application","check if the best buy services application can be accessed by users","SUCCESS","2021-08-02T22:17:59.191+01:00[Europe/London]","0.0","0.13"
"Testing different requests on the best buy services application","Create a new services & verify if the services is added","SUCCESS","2021-08-02T22:17:59.726+01:00[Europe/London]","0.0","0.34"
"Testing different requests on the best buy services application","Getting services information by Id","SUCCESS","2021-08-02T22:18:00.828+01:00[Europe/London]","0.0","0.1"
"Testing different requests on the best buy services application","Update a created services & verify if the services is updated","SUCCESS","2021-08-02T22:18:01.303+01:00[Europe/London]","0.0","0.21"
"Testing different requests on the best buy services application","Delete a created services & verify the services is deleted","SUCCESS","2021-08-02T22:18:01.941+01:00[Europe/London]","0.0","0.3"
